vehID,d_travelled,delta_t,t_arrival,t_departure,delta_t_sec
1035198-1,9.381699000000001,0 days 14:14:00.000000000,2012-05-22 17:17:00,2012-05-23 07:31:00,51240
1035198-1,9.3888,0 days 14:42:00.000000000,2012-05-23 16:41:00,2012-05-24 07:23:00,52920
1035198-1,9.465098000000001,0 days 00:41:00.000000000,2012-05-24 13:27:00,2012-05-24 14:08:00,2460
1035198-1,9.385899,0 days 14:06:00.000000000,2012-05-24 17:23:00,2012-05-25 07:29:00,50760
1035198-1,9.39,2 days 21:58:00.000000000,2012-05-25 13:06:00,2012-05-28 11:04:00,79080
1035198-1,4.807899,0 days 02:51:00.000000000,2012-05-28 11:35:00,2012-05-28 14:26:00,10260
1035198-2,24.159795000000003,0 days 10:23:00.000000000,2012-05-22 21:48:00,2012-05-23 08:11:00,37380
1035198-2,62.08829100000001,0 days 13:50:00.000000000,2012-05-27 00:42:00,2012-05-27 14:32:00,49800
1035198-2,96.78809700000001,0 days 18:20:00.000000000,2012-05-27 20:04:00,2012-05-28 14:24:00,66000
1035198-3,121.766296,0 days 08:51:00.000000000,2012-05-22 21:18:00,2012-05-23 06:09:00,31860
1035198-3,15.710497999999998,0 days 02:42:00.000000000,2012-05-23 15:31:00,2012-05-23 18:13:00,9720
1035198-3,34.594198,0 days 09:26:00.000000000,2012-05-23 21:32:00,2012-05-24 06:58:00,33960
1035198-3,17.269997,0 days 02:10:00.000000000,2012-05-24 17:24:00,2012-05-24 19:34:00,7800
1035198-3,2.021,0 days 08:31:00.000000000,2012-05-24 21:15:00,2012-05-25 05:46:00,30660
1035198-3,15.146298,0 days 00:26:00.000000000,2012-05-25 16:23:00,2012-05-25 16:49:00,1560
1035198-3,220.1624,0 days 13:42:00.000000000,2012-05-26 22:52:00,2012-05-27 12:34:00,49320
1035198-3,3.059399,0 days 07:05:00.000000000,2012-05-27 13:32:00,2012-05-27 20:37:00,25500
1035198-3,2.879499,0 days 12:45:00.000000000,2012-05-27 20:50:00,2012-05-28 09:35:00,45900
1037295-1,35.866799,0 days 20:08:00.000000000,2012-05-02 21:35:00,2012-05-03 17:43:00,72480
1037295-1,12.3193,0 days 12:46:00.000000000,2012-05-03 20:14:00,2012-05-04 09:00:00,45960
1037295-1,11.951895,0 days 09:15:00.000000000,2012-05-04 10:45:00,2012-05-04 20:00:00,33300
1037295-1,6.0196000000000005,0 days 10:51:00.000000000,2012-05-04 20:31:00,2012-05-05 07:22:00,39060
1037295-1,15.023499000000001,0 days 00:37:00.000000000,2012-05-05 13:27:00,2012-05-05 14:04:00,2220
1037295-1,11.428797999999999,0 days 03:06:00.000000000,2012-05-05 16:23:00,2012-05-05 19:29:00,11160
1037295-1,3.478598,0 days 13:01:00.000000000,2012-05-05 20:06:00,2012-05-06 09:07:00,46860
1037295-1,5.0507,1 days 01:16:00.000000000,2012-05-06 09:59:00,2012-05-07 11:15:00,4560
1037295-1,12.537299,0 days 02:36:00.000000000,2012-05-07 12:31:00,2012-05-07 15:07:00,9360
1044414-1,3.2165999999999997,0 days 03:41:00.000000000,2012-05-11 07:16:00,2012-05-11 10:57:00,13260
1044414-1,9.117099,0 days 05:50:00.000000000,2012-05-11 11:57:00,2012-05-11 17:47:00,21000
1044414-1,55.234899,0 days 07:59:00.000000000,2012-05-11 22:21:00,2012-05-12 06:20:00,28740
1044414-1,3.2869,0 days 07:14:00.000000000,2012-05-12 06:32:00,2012-05-12 13:46:00,26040
1044414-1,12.1976,0 days 03:00:00.000000000,2012-05-12 14:31:00,2012-05-12 17:31:00,10800
1044414-1,55.247899000000004,0 days 08:18:00.000000000,2012-05-12 22:55:00,2012-05-13 07:13:00,29880
1044414-1,3.441099,0 days 05:41:00.000000000,2012-05-13 07:44:00,2012-05-13 13:25:00,20460
1044414-1,10.952297999999999,0 days 00:14:00.000000000,2012-05-13 14:11:00,2012-05-13 14:25:00,840
1044414-1,2.698799,1 days 01:06:00.000000000,2012-05-13 14:58:00,2012-05-14 16:04:00,3960
1044414-1,9.233499,0 days 19:52:00.000000000,2012-05-14 16:34:00,2012-05-15 12:26:00,71520
1044414-1,39.874399000000004,0 days 00:26:00.000000000,2012-05-15 14:20:00,2012-05-15 14:46:00,1560
1044414-1,8.801,0 days 04:53:00.000000000,2012-05-15 15:38:00,2012-05-15 20:31:00,17580
1044414-1,131.283301,0 days 11:09:00.000000000,2012-05-16 00:02:00,2012-05-16 11:11:00,40140
